KTS	S	FD	KD	LT
17	4	0	17	17
23	9	0	21	21
28	20	0	22	22
29	22	0	23	23
56	1	0	56	56
60	7	0	59	59
60	12	0	57	57
62	17	0	57	57
63	31	0	53	53
64	8	0	63	63
65	15	0	61	61
66	24	0	59	59
66	26	0	58	58
67	19	0	62	62
68	27	0	59	59
69	38	0	57	57
69	40	0	57	57
69	23	0	63	63
70	46	0	57	57
70	35	0	59	59
70	34	0	59	59
70	45	0	57	57
71	49	0	57	57
71	42	0	59	59
71	30	0	62	62
71	48	0	57	57
71	47	0	57	57
72	50	0	58	58
72	64	0	55	55
72	52	0	57	57
73	63	0	56	56
74	51	0	60	60
74	70	0	56	56
74	77	0	55	55
75	14	0	71	71
75	84	0	55	55
75	60	0	59	59
75	69	0	57	57
78	62	0	61	61
91	91	0	69	69
99	110	0	71	71
99	176	0	58	58
99	36	0	87	87
99	121	0	69	69
99	80	0	79	79
99	107	0	73	73
99	55	0	84	84
99	82	0	79	79
99	95	0	76	76
99	98	0	75	75
99	16	0	94	94
99	76	0	80	80
99	102	0	74	74
99	28	0	90	90
99	65	0	82	82
99	89	0	78	78
99	10	0	96	96
99	103	0	74	74
99	106	0	73	73
99	13	0	95	95
99	6	0	98	98
99	67	0	81	81
99	75	0	80	80
100	79	0	81	81
100	33	0	90	90
100	18	0	95	95
100	100	0	75	75
100	150	0	64	64
100	74	0	81	81
100	140	0	67	67
100	61	0	84	84
100	44	0	87	87
100	58	0	84	84
100	99	0	76	76
100	120	0	70	70
100	123	0	70	70
101	134	0	69	69
101	147	0	66	66
101	32	0	91	91
101	109	0	74	74
101	117	0	72	72
101	93	0	78	78
101	29	0	92	92
101	115	0	73	73
101	112	0	73	73
101	78	0	82	82
101	157	0	65	65
101	161	0	64	64
101	96	0	78	78
101	178	0	60	60
101	162	0	63	63
101	141	0	68	68
101	43	0	88	88
101	92	0	79	79
101	5	0	101	101
101	153	0	65	65
101	101	0	76	76
101	104	0	76	76
101	125	0	71	71
101	118	0	72	72
101	168	0	62	62
101	129	0	70	70
101	41	0	89	89
101	188	0	58	58
101	57	0	86	86
101	142	0	68	68
101	159	0	64	64
101	151	0	65	65
101	105	0	75	75
102	111	0	74	74
102	68	0	84	84
102	175	0	61	61
102	126	0	71	71
102	145	0	68	68
102	39	0	90	90
102	189	0	58	58
102	114	0	74	74
102	71	0	84	84
102	138	0	70	70
102	72	0	83	83
102	66	0	84	84
102	85	0	81	81
102	59	0	86	86
102	81	0	82	82
102	143	0	69	69
102	83	0	82	82
102	86	0	81	81
102	119	0	73	73
102	88	0	81	81
102	73	0	83	83
102	94	0	79	79
102	167	0	63	63
102	131	0	71	71
102	190	0	57	57
102	156	0	66	66
102	130	0	71	71
102	25	0	94	94
103	169	0	64	64
103	124	0	73	73
103	54	0	88	88
103	158	0	66	66
103	3	0	103	103
103	195	0	57	57
103	2	0	103	103
103	87	0	82	82
103	194	0	57	57
103	113	0	75	75
103	133	0	72	72
103	182	0	61	61
103	53	0	88	88
103	206	0	54	54
103	135	0	71	71
104	212	0	54	54
104	197	0	58	58
104	203	0	56	56
104	200	0	57	57
104	148	0	69	69
105	166	0	67	67
105	137	0	73	73
105	196	0	59	59
105	198	0	59	59
105	204	0	57	57
106	213	0	56	56
106	37	0	94	94
106	193	0	60	60
106	207	0	57	57
106	108	0	79	79
106	214	0	56	56
106	216	0	55	55
106	172	0	66	66
107	181	0	65	65
107	173	0	66	66
107	177	0	66	66
107	183	0	65	65
107	219	0	56	56
107	149	0	72	72
107	164	0	69	69
107	215	0	56	56
108	136	0	76	76
108	165	0	70	70
108	97	0	84	84
108	217	0	57	57
108	222	0	56	56
108	152	0	72	72
109	56	0	94	94
109	220	0	57	57
109	225	0	56	56
109	128	0	78	78
109	209	0	60	60
110	90	0	88	88
110	154	0	74	74
110	234	0	55	55
110	116	0	82	82
110	211	0	60	60
110	236	0	54	54
110	274	0	47	47
110	132	0	79	79
111	229	0	57	57
111	235	0	56	56
111	238	0	55	55
